0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,1,1,1,0.0,0.23333333333333334,0.5666666666666667,0.0,0.0,0.0,0.1,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.19444444444444445,0.6388888888888888,0.0,0.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.2413793103448276,0.5517241379310345,0.0,0.0,0.0,0.1206896551724138,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.22950819672131148,0.5737704918032787,0.0,0.0,0.0,0.14754098360655737,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.2028985507246377,0.6231884057971014,0.0,0.0,0.0,0.13043478260869565,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.19718309859154928,0.6338028169014085,0.0,0.0,0.0,0.1267605633802817,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.2028985507246377,0.6231884057971014,0.0,0.0,0.0,0.13043478260869565,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.1891891891891892,0.6486486486486487,0.0,0.0,0.0,0.12162162162162163,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.18666666666666668,0.6533333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.17721518987341772,0.6708860759493671,0.0,0.0,0.0,0.06329113924050633,0.0,0.06329113924050633,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.18666666666666668,0.6533333333333333,0.0,0.0,0.0,0.12,0.0,0.04,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.208955223880597,0.6119402985074627,0.0,0.0,0.0,0.14925373134328357,0.0,0.04477611940298507,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.22580645161290322,0.5806451612903226,0.0,0.0,0.0,0.08064516129032258,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.25925925925925924,0.5185185185185185,0.0,0.0,0.0,0.16666666666666666,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.21212121212121213,0.6060606060606061,0.0,0.0,0.0,0.07575757575757576,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.22580645161290322,0.5806451612903226,0.0,0.0,0.0,0.0967741935483871,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.2153846153846154,0.6,0.0,0.0,0.0,0.13846153846153847,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.20588235294117646,0.6176470588235294,0.0,0.0,0.0,0.08823529411764706,0.0,0.04411764705882353,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.1891891891891892,0.6486486486486487,0.0,0.0,0.0,0.08108108108108109,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.23333333333333334,0.5666666666666667,0.0,0.0,0.0,0.15,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.21875,0.59375,0.0,0.0,0.0,0.09375,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.2028985507246377,0.6231884057971014,0.0,0.0,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.19718309859154928,0.6338028169014085,0.0,0.0,0.0,0.1267605633802817,0.0,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.23728813559322035,0.559322033898305,0.0,0.0,0.0,0.1016949152542373,0.0,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.21212121212121213,0.6060606060606061,0.0,0.0,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.21875,0.59375,0.0,0.0,0.0,0.140625,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.2153846153846154,0.6,0.0,0.0,0.0,0.09230769230769231,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
0,1,1,1,0.0,0.1794871794871795,0.6666666666666666,0.0,0.0,0.0,0.11538461538461539,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,564,1,1,-1,-1,1,1,-1,1,1,0,0,-1,0.0,0,0.0,-1
